company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
language and languages,"('language', -6.82030645179075)","('english', -7.122982156978168)","('hispanic', -7.227110927831977)","('word', -7.67963907457011)","('spanish', -7.831928212495822)","('words', -7.914245609545145)","('students', -7.938057996356445)","('languages', -7.954984844565136)","('black', -8.100670118181952)","('editor', -8.122245656308166)"
english language,"('language', -7.374590286716114)","('english', -7.38025906227514)","('word', -7.853196093115128)","('words', -8.252773086220778)","('phrase', -8.342308786815407)","('dictionary', -8.37345876267792)","('meaning', -8.400601776535893)","('usage', -8.46475426933194)","('verb', -8.510591581861567)","('editor', -8.510871536143917)"
roads and traffic,"('traffic', -6.550318756682283)","('police', -6.6073615588591155)","('car', -6.672412311186698)","('driver', -6.805799034858727)","('driving', -6.8742234038288945)","('drivers', -6.879560058614163)","('highway', -6.914659181009624)","('transportation', -7.008756723028359)","('road', -7.098583539605048)","('accident', -7.105753533971687)"
automobiles,"('car', -6.0898153878812)","('cars', -6.144498206042656)","('auto', -6.398596340417712)","('vehicles', -6.570488239309451)","('ford', -6.611116865337042)","('motor', -6.753167489652191)","('motors', -6.818603603414207)","('vehicle', -6.863450084390968)","('chrysler', -6.927813611538391)","('sales', -7.050692180779546)"
company and organization profiles,"('companies', -7.572102329635672)","('market', -7.5803113491863146)","('stock', -7.6209652481103)","('sales', -7.69198032646419)","('billion', -7.760267359783899)","('industry', -7.797083461915247)","('analysts', -7.800283419800639)","('management', -7.981784518706611)","('share', -8.004228327221119)","('executives', -8.010564452810568)"
arms control and limitation and disarmament,"('treaty', -6.873583122859991)","('nuclear', -6.901923884902375)","('arms', -7.187388473681888)","('weapons', -7.220899547010214)","('soviet', -7.273364606272562)","('missiles', -7.31218452853511)","('missile', -7.507969324213466)","('administration', -7.766298252761608)","('moscow', -7.775200462143534)","('warheads', -7.884076498231715)"
treaties,"('treaty', -6.82448674100804)","('nuclear', -7.7333880403150035)","('agreement', -7.742640629676577)","('countries', -7.929085138512742)","('administration', -7.964292530852002)","('weapons', -8.018360723848918)","('nations', -8.020152336681079)","('trade', -8.163511653929726)","('soviet', -8.168098540587483)","('arms', -8.182991030152692)"
boards of directors,"('board', -7.161588991530362)","('directors', -7.472959671774311)","('shareholders', -7.745068175182751)","('chairman', -7.916296578053383)","('stock', -8.056572126034519)","('shares', -8.237644971464642)","('shareholder', -8.239798911033144)","('management', -8.246332727243871)","('executives', -8.270319834842567)","('proxy', -8.328026675862922)"
coaches and managers,"('coach', -5.9158581034603905)","('team', -6.496141650991176)","('season', -6.557586503674579)","('players', -6.78682206123899)","('coaching', -6.794339540486952)","('game', -6.840916312076591)","('basketball', -6.9291814301997405)","('football', -6.951050745497888)","('coaches', -6.973825150456287)","('league', -7.06037780503312)"
"hockey, ice","('hockey', -5.645021348227612)","('rangers', -5.973036736437179)","('game', -6.062838478044344)","('devils', -6.0851335701650395)","('season', -6.193721728632095)","('team', -6.214697923019558)","('games', -6.239768337183373)","('goals', -6.274041270711683)","('goal', -6.276530144953211)","('islanders', -6.31439065493197)"
dow jones stock average,"('dow', -6.480465257189409)","('stocks', -6.510566271514618)","('index', -6.6370580355285345)","('stock', -6.733133100824041)","('market', -6.8463248182065595)","('points', -6.94707110753864)","('rose', -7.055450115000854)","('composite', -7.075663389454752)","('nasdaq', -7.0803580410267335)","('shares', -7.1222713102760515)"
coups d'etat and attempted coups d'etat,"('coup', -7.3465225466096875)","('military', -7.974151422469233)","('army', -8.541523468853882)","('minister', -8.58612989938095)","('power', -8.622294346732652)","('democracy', -8.758677450234213)","('soviet', -8.768535994963145)","('gen', -8.774443871643435)","('leaders', -8.835012106846222)","('forces', -8.848129798077505)"
frauds and swindling,"('fraud', -6.22100178515308)","('charges', -6.8838456659847)","('investigation', -7.111512015750341)","('prosecutors', -7.126398472853496)","('court', -7.171006063180209)","('attorney', -7.186262183794046)","('guilty', -7.285719083364772)","('lawyer', -7.365020871190283)","('securities', -7.3702524500579205)","('charged', -7.412815434173798)"
bridge (card game),"('spade', -6.076813804402193)","('ace', -6.183684562335817)","('diamond', -6.245570904434716)","('dummy', -6.365484843460214)","('trump', -6.444233015414646)","('south', -6.485234657649488)","('club', -6.539129196726715)","('spades', -6.595854979908708)","('bridge', -6.628421211884622)","('diagramed', -6.666758234629899)"
banks and banking,"('bank', -5.990301272840128)","('banks', -6.157981450396392)","('banking', -6.481122641250109)","('savings', -6.711865271088997)","('billion', -6.807934357978383)","('loan', -6.909368246024295)","('loans', -6.925118964615802)","('financial', -6.949992105517052)","('institutions', -7.141283977789978)","('market', -7.180595204185295)"
insurance,"('insurance', -5.82079120087757)","('health', -6.184158712004102)","('care', -6.4149770964807304)","('coverage', -6.641233049705957)","('insurers', -6.814106023715395)","('companies', -6.892019991064065)","('medicare', -7.0032823661620816)","('costs', -7.026268766836976)","('medical', -7.027545883188256)","('benefits', -7.0442311368868085)"
steel and iron,"('steel', -7.225115676384185)","('tons', -8.385694106022502)","('industry', -8.561463552789627)","('iron', -8.635710946677282)","('production', -8.814304179668998)","('usx', -8.832783266581679)","('trade', -8.85774183141911)","('imports', -8.94297777688389)","('companies', -8.94926068564297)","('tariffs', -8.979448924272909)"
arson,"('arson', -7.402054928027808)","('police', -8.004403501481494)","('fires', -8.260839558637338)","('blaze', -8.375655724977184)","('firefighters', -8.40918609078754)","('building', -8.518174069531028)","('burned', -8.562364660401304)","('investigators', -8.568010401750726)","('charged', -8.605063550378816)","('killed', -8.782004510728084)"
fires and firefighters,"('firefighters', -6.3751020216849925)","('fires', -7.1410579306158635)","('blaze', -7.143118674567577)","('smoke', -7.233100402941548)","('firefighter', -7.235993153261933)","('police', -7.256173936792969)","('building', -7.309866388972969)","('flames', -7.549802354434427)","('burned', -7.588533482031841)","('arson', -7.632900491036076)"
child custody and support,"('child', -7.7542825872169105)","('custody', -7.77682808091319)","('elian', -8.02508330921031)","('court', -8.091253157700852)","('father', -8.45639671210346)","('parents', -8.461866981442215)","('judge', -8.500746544383944)","('mother', -8.539349601889548)","('gonzalez', -8.603593404346213)","('support', -8.731709497826607)"
social conditions and trends,"('social', -7.634064744003187)","('community', -7.921535445568293)","('neighborhood', -7.964984576951752)","('black', -8.041104010525494)","('economic', -8.10136356341286)","('live', -8.110208481661777)","('residents', -8.115126876762787)","('police', -8.129656826108022)","('population', -8.132723537261164)","('women', -8.142542903736082)"
perjury,"('perjury', -7.6537903945296275)","('jury', -8.224758290295137)","('testimony', -8.44800666547896)","('trial', -8.459857809346301)","('charges', -8.5139018245256)","('prosecutors', -8.52771345542708)","('judge', -8.611894772713363)","('court', -8.657836639679626)","('lying', -8.715952929969003)","('grand', -8.736989366259543)"
securities and commodities violations,"('securities', -6.749059653033478)","('stock', -7.244210800151503)","('trading', -7.290116886249531)","('exchange', -7.304492644211544)","('commission', -7.329493949328444)","('fraud', -7.3866733184312)","('investors', -7.412994797344832)","('firm', -7.546800139234202)","('investigation', -7.619795302472319)","('charges', -7.677925200899418)"
football,"('football', -5.440926656303603)","('game', -5.828815720091885)","('season', -5.919181700243605)","('coach', -5.9694425346108355)","('quarterback', -5.985858027347977)","('team', -6.005244261950646)","('giants', -6.011119691212177)","('yards', -6.043269076683568)","('jets', -6.154529507684592)","('bowl', -6.229271849890576)"
freedom and human rights,"('rights', -6.44377721938652)","('human', -6.633866840316497)","('china', -7.1431232692566065)","('democracy', -7.17905066645392)","('military', -7.183355903160658)","('chinese', -7.489434887659709)","('nations', -7.490748977240493)","('leaders', -7.610553044110592)","('foreign', -7.619365930668956)","('beijing', -7.639007133293837)"
area planning and renewal,"('development', -7.099505238893035)","('project', -7.436820249307071)","('site', -7.4804508820684035)","('plan', -7.5801990235327725)","('square', -7.606936867443074)","('building', -7.616245114550192)","('buildings', -7.703619801518467)","('developers', -7.706967184568175)","('downtown', -7.767494782328415)","('space', -7.7792128034434365)"
zoning,"('zoning', -7.053395166368861)","('building', -8.12163379440737)","('development', -8.149189308295117)","('planning', -8.208459640603902)","('residential', -8.271468970818152)","('buildings', -8.279225778519754)","('developers', -8.292421474384716)","('housing', -8.293269989573282)","('square', -8.38128833604161)","('property', -8.382624931285457)"
terrorism,"('iraq', -6.46451706817631)","('terrorist', -6.511316200155569)","('attacks', -6.516448725315898)","('security', -6.588579128706898)","('terrorism', -6.623915666733908)","('sept', -6.676884929199383)","('bush', -6.6953477915507245)","('military', -6.782839394436597)","('attack', -6.782864861897616)","('terrorists', -6.950953453398146)"
space,"('space', -6.350879366466442)","('nasa', -6.658454964371245)","('shuttle', -6.684344018251453)","('earth', -6.930843402220402)","('astronauts', -7.175732728546386)","('orbit', -7.262718752516251)","('dr', -7.306983713587301)","('spacecraft', -7.313444145835195)","('mission', -7.345121961206436)","('scientists', -7.3469419649321495)"
space shuttle,"('shuttle', -6.647586722163888)","('space', -7.05728584702318)","('nasa', -7.13807726419707)","('astronauts', -7.4154389613117)","('launching', -7.642825365419568)","('flight', -7.703949154052419)","('mission', -7.705172940204555)","('columbia', -7.9889161089812335)","('crew', -8.004954604893536)","('aeronautics', -8.040401009825587)"
acquired immune deficiency syndrome,"('aids', -5.630154489021284)","('virus', -6.466120670901775)","('infected', -6.723080565723785)","('health', -6.860071868511883)","('disease', -6.949339493634907)","('dr', -7.151125759926474)","('drug', -7.153136337352029)","('patients', -7.215140077555434)","('infection', -7.294836130896224)","('epidemic', -7.522441538930569)"
viruses,"('aids', -5.663710114220622)","('virus', -6.268311699445133)","('infected', -6.631653670798219)","('health', -6.75521583664777)","('disease', -6.8069261171859985)","('dr', -7.0121957790222345)","('drug', -7.154641159938915)","('patients', -7.163635672890175)","('infection', -7.20053517596938)","('epidemic', -7.474628795878306)"
layoffs and job reductions,"('jobs', -6.806194956588652)","('layoffs', -6.815670543342165)","('employees', -6.93944940689023)","('workers', -6.999334083636768)","('cuts', -7.213064835533498)","('cut', -7.358805625426768)","('job', -7.5773416725901725)","('laid', -7.6180630352281735)","('billion', -7.621748858356653)","('force', -7.669860545431817)"
parties (social),"('evening', -6.4210563441762)","('hours', -6.643572806902939)","('party', -7.350630710883628)","('guests', -7.794587206273297)","('dinner', -7.964019531936327)","('parties', -8.050897072203718)","('benefit', -8.399572284392734)","('museum', -8.505499606883028)","('dance', -8.53099059471064)","('event', -8.655423242926334)"
colleges and universities,"('students', -5.980140732163161)","('college', -6.282537928271662)","('colleges', -6.553779963578973)","('student', -6.63605450475809)","('education', -6.708826119204353)","('universities', -6.790474078980065)","('campus', -6.862357501175646)","('faculty', -7.146020509802183)","('schools', -7.173262681924801)","('academic', -7.248088970790178)"
games,"('game', -6.017123733853769)","('games', -6.076692763720527)","('olympic', -6.312099101443653)","('team', -6.330351073951902)","('olympics', -6.56517617389219)","('season', -6.720163512128459)","('coach', -6.848044989396968)","('series', -6.879901353718389)","('playoffs', -6.936770535273538)","('players', -6.953503663509585)"
playoff games,"('game', -6.045962118948815)","('team', -6.551259423186013)","('season', -6.569586602648472)","('games', -6.5776204094985955)","('playoffs', -6.600407908128132)","('playoff', -6.643928217232717)","('series', -6.650977900776153)","('coach', -6.892869479473624)","('league', -6.941392020250436)","('victory', -7.142977111807277)"
renting and leasing,"('rent', -6.559585141589209)","('tenants', -6.852356581776359)","('apartments', -7.164081140638151)","('rental', -7.203905495187372)","('building', -7.21659105743182)","('lease', -7.224461346886428)","('rents', -7.2256275752303925)","('housing', -7.259963425161225)","('tenant', -7.297292202568332)","('apartment', -7.398862865932192)"
espionage,"('intelligence', -7.17997146356779)","('espionage', -7.318202539766738)","('spy', -7.56549186339632)","('spying', -7.776570800491784)","('security', -7.847190010162753)","('information', -7.908094056107787)","('soviet', -7.920702217002713)","('secrets', -7.997120029360444)","('agency', -7.9994402600678605)","('classified', -8.179363232946383)"
antitrust actions and laws,"('antitrust', -6.636712191016112)","('microsoft', -6.998591382019423)","('companies', -7.5816495310788605)","('justice', -7.606574798612207)","('competition', -7.67469810090026)","('commission', -7.743837136981439)","('court', -7.785702962003161)","('market', -7.814116638059094)","('software', -7.854084462039321)","('industry', -7.895905658524696)"
christians and christianity,"('church', -6.462294407328567)","('catholic', -7.003975189788314)","('priests', -7.101868641017707)","('religious', -7.213196621848693)","('christian', -7.303551647265534)","('priest', -7.435490752043294)","('bishop', -7.437836199503056)","('rev', -7.501377235308289)","('roman', -7.501394856087419)","('bishops', -7.512479731618792)"
anti-semitism,"('anti', -7.414076650338999)","('jews', -7.438845485681299)","('jewish', -7.514197803605522)","('semitic', -7.630260131531763)","('semitism', -7.694452013333342)","('israel', -8.52496227932228)","('jew', -8.68123649930921)","('police', -8.733023241869178)","('nazi', -8.76083410872721)","('black', -8.764679339520832)"
military aircraft,"('aircraft', -7.516325762198765)","('air', -7.646166624267323)","('plane', -7.679901805928443)","('military', -7.70365858966529)","('fighter', -7.818588503816874)","('planes', -7.832592328480258)","('force', -7.923381738938152)","('pentagon', -8.030356630429786)","('jet', -8.206994172842847)","('defense', -8.276233525654597)"
defense contracts,"('military', -7.736500136685221)","('pentagon', -7.829627438098601)","('contract', -8.00097155627331)","('defense', -8.037771650249919)","('corporation', -8.048951861015656)","('wedtech', -8.074083729671017)","('contracts', -8.101459262390364)","('contractors', -8.253126249786419)","('contractor', -8.290965047706628)","('navy', -8.342113532868726)"
threats and threatening messages,"('threats', -8.133720611688371)","('police', -8.365108692942329)","('threat', -8.535971852788903)","('threatening', -8.78338142736214)","('bomb', -8.79425003888562)","('rushdie', -8.829043363670184)","('threatened', -9.044234082942237)","('death', -9.062237258510832)","('court', -9.097166414514868)","('security', -9.13348255242441)"
bombs and explosives,"('bomb', -6.498951243795718)","('bombing', -6.582822169841698)","('killed', -6.981990908898093)","('police', -7.0412590291887)","('bombings', -7.156608945930452)","('attack', -7.199979151177235)","('attacks', -7.241661889053001)","('terrorist', -7.29422886974033)","('security', -7.319672973273448)","('explosives', -7.418427598400694)"
environment,"('environmental', -6.3332416476340345)","('air', -6.655407915902974)","('pollution', -7.031564908337968)","('emissions', -7.066036510850455)","('environment', -7.374052336337541)","('agency', -7.451843474751347)","('protection', -7.457513643892519)","('clean', -7.473870309222707)","('administration', -7.483642236569926)","('water', -7.509096487391743)"
boxing,"('boxing', -6.0454273731319255)","('fight', -6.6083443554739585)","('tyson', -6.618081215377702)","('heavyweight', -6.6639478530173655)","('bout', -6.794811522740484)","('champion', -6.905310002407814)","('holyfield', -7.092263750531822)","('title', -7.204433823810415)","('round', -7.338541730920349)","('fighter', -7.393409354299197)"
ratings and rating systems,"('rating', -6.680604739899207)","('ratings', -6.687856469412739)","('viewers', -7.074186668541199)","('nbc', -7.194000260419597)","('cbs', -7.2172348510047835)","('nielsen', -7.2820412444980365)","('abc', -7.306559140443594)","('network', -7.654188972938034)","('fox', -7.664663841613584)","('television', -7.7852876740922365)"
electric light and power,"('power', -6.43976916882445)","('electricity', -6.688749087538339)","('energy', -6.827106381816264)","('plant', -6.994086825903923)","('nuclear', -7.007041200564037)","('utility', -7.022516728682904)","('utilities', -7.181578111342162)","('electric', -7.1842597429709)","('plants', -7.19140568216767)","('gas', -7.495244957629284)"
energy and power,"('energy', -6.404664245735865)","('gas', -6.438980324591347)","('power', -6.466029364813935)","('electricity', -6.71610145687373)","('oil', -6.972554356778218)","('utility', -7.022911572750799)","('plant', -7.0375353909647345)","('nuclear', -7.0649438927687696)","('natural', -7.125263409884086)","('fuel', -7.129857168558958)"
light,"('power', -6.488793321246154)","('electricity', -6.721078769334499)","('energy', -6.827005676570622)","('plant', -7.006212662078692)","('nuclear', -7.012197161997548)","('utility', -7.056514139038887)","('plants', -7.200529838639944)","('electric', -7.200962822042764)","('utilities', -7.201462516118343)","('gas', -7.513428661077)"
shutdowns (institutional),"('closing', -7.378877023829264)","('closed', -7.567076555193408)","('plant', -7.706770634448386)","('shut', -8.044411229324414)","('closings', -8.075206855716036)","('workers', -8.08157519694562)","('jobs', -8.125843657019997)","('employees', -8.136213660696432)","('plants', -8.338478975376487)","('plan', -8.46461066748816)"
explosions,"('explosion', -7.226440789829565)","('blast', -8.141055680583566)","('killed', -8.502639659404933)","('exploded', -8.55423815631237)","('gas', -8.619297795153548)","('injured', -8.632036195601177)","('safety', -8.73685778337225)","('police', -8.786057902666972)","('investigators', -8.808665300858781)","('workers', -8.857362252986867)"
chemicals,"('alcohol', -7.562175025119406)","('chemical', -7.76251807631362)","('chemicals', -7.797277386781833)","('drinking', -7.903786639274241)","('environmental', -8.23483927278205)","('health', -8.377811022328263)","('drug', -8.454296243619204)","('plant', -8.511936181499516)","('dr', -8.517592040824216)","('toxic', -8.598793664223107)"
marriages,"('marriage', -6.827028676023318)","('couples', -7.439880874071418)","('gay', -7.461260944399332)","('married', -7.549246286033306)","('sex', -7.622882148427804)","('marriages', -7.657425026555008)","('marry', -8.005606476247515)","('women', -8.264306370301945)","('rights', -8.331847029750438)","('weddings', -8.341969952509364)"
surveys and series,"('job', -8.706114727452103)","('health', -8.723163913513586)","('series', -8.73323747900036)","('care', -8.750217796152956)","('baseball', -8.762840555111458)","('pay', -8.818348183064415)","('problems', -8.825609051834888)","('problem', -8.851669246823494)","('workers', -8.864809500232814)","('nation', -8.892087769419495)"
veterans,"('veterans', -7.177473823671228)","('vietnam', -8.231396074525913)","('affairs', -8.875990366809873)","('veteran', -8.884239302783511)","('military', -8.897078877538657)","('memorial', -9.001735156376764)","('soldiers', -9.079634350457011)","('army', -9.219303068513735)","('health', -9.224386227013571)","('care', -9.279123317159259)"
retail stores and trade,"('stores', -6.455901365885501)","('store', -6.488220877346238)","('retail', -6.789330108836101)","('shopping', -7.002743278709617)","('sales', -7.031855083282478)","('retailers', -7.091194494344498)","('shoppers', -7.399784759410624)","('customers', -7.4661578736243435)","('square', -7.473622203630931)","('mall', -7.47697687372268)"
newspapers,"('newspaper', -6.856543576698986)","('newspapers', -7.200902061591933)","('paper', -7.362922781060599)","('circulation', -7.534462315678371)","('daily', -7.655119354014705)","('editor', -7.845807134933628)","('advertising', -7.863275576611835)","('media', -7.875187823856199)","('papers', -7.940410500732635)","('publisher', -7.952427535600218)"
research,"('dr', -6.292230461444637)","('researchers', -6.399142715151086)","('research', -6.4504493081920735)","('study', -6.552464455722345)","('scientists', -6.784378566288241)","('disease', -7.141593672352704)","('patients', -7.147830476172039)","('studies', -7.216768811012675)","('health', -7.272183331742861)","('medical', -7.292224207406701)"
cable television,"('cable', -6.605983709658013)","('television', -7.406811106479832)","('network', -7.7635814329274915)","('programming', -7.840679518212089)","('channel', -7.863456643472617)","('channels', -7.950773660410245)","('communications', -7.978803229453154)","('subscribers', -7.987958489537872)","('networks', -8.00698180187694)","('companies', -8.009171298442029)"
cancer,"('cancer', -6.133321330471527)","('breast', -6.972218207464962)","('dr', -7.227583592784868)","('patients', -7.385047508399454)","('disease', -7.548958513240145)","('cancers', -7.593609156950368)","('women', -7.610343075433692)","('study', -7.6452764547521435)","('health', -7.650983060611461)","('treatment', -7.712225546951965)"
fruit,"('fruit', -7.857548919454539)","('juice', -8.20733254183438)","('growers', -8.583130197103433)","('orange', -8.59060042147414)","('food', -8.599156509944251)","('apples', -8.606611914084565)","('fruits', -8.641986740367967)","('crop', -8.68489967820156)","('apple', -8.808178512382405)","('sugar', -8.867609862633524)"
assaults,"('police', -6.7918835453435875)","('assault', -7.202825134342419)","('charged', -7.552143057725514)","('incident', -7.615642487630589)","('arrested', -7.743660364693629)","('charges', -7.779793562722695)","('attack', -7.782899753739768)","('officers', -7.868047040205904)","('men', -7.8786566473505815)","('officer', -7.912325272874175)"
blacks,"('black', -5.899538538697672)","('blacks', -6.458128850717083)","('racial', -6.594762878698874)","('african', -6.892235431361373)","('police', -6.986352873566048)","('race', -7.031315634370951)","('whites', -7.127883700881078)","('rights', -7.1586206241319035)","('civil', -7.160607291542764)","('minority', -7.1719868541604495)"
"names, organizational","('advertising', -8.700904851672533)","('renamed', -8.785998966394978)","('media', -8.901751749664474)","('names', -8.96330054339147)","('addenda', -9.053120554878792)","('agency', -9.070232366205477)","('companies', -9.072728698887666)","('corporation', -9.078957099432891)","('chairman', -9.280954441100722)","('marketing', -9.364364493492324)"
photography,"('photographs', -6.786691017160791)","('photography', -6.933040337928767)","('pictures', -6.973483549112792)","('images', -7.1219415745361845)","('film', -7.1422698436055105)","('camera', -7.169404295103675)","('photographer', -7.236658855808232)","('art', -7.322568594984113)","('photographers', -7.443357508491907)","('photograph', -7.525822400109363)"
ships and shipping,"('ship', -6.821836015747537)","('ships', -7.157984182746259)","('cruise', -7.410777550073605)","('navy', -7.554851462144241)","('port', -7.750183039001298)","('sea', -7.810279213149167)","('vessel', -7.814223703321655)","('coast', -7.841880322401452)","('cruises', -7.883243845171052)","('submarine', -7.928287464890215)"
missiles and missile defense systems,"('missile', -6.534070130298031)","('missiles', -6.74267037226437)","('nuclear', -7.238393047925897)","('weapons', -7.463660574581305)","('defense', -7.5167975376594365)","('treaty', -7.520704580013513)","('soviet', -7.624673778488599)","('military', -7.657425318535639)","('arms', -7.678735318617647)","('range', -7.717154283340899)"
navies,"('navy', -6.869930319963581)","('naval', -7.689136561707073)","('military', -7.997542229387793)","('ship', -8.142129781842174)","('ships', -8.159498213021953)","('pentagon', -8.176781031605222)","('gulf', -8.36603048066436)","('admiral', -8.381322185213952)","('aircraft', -8.39997334113883)","('sailors', -8.44115771640898)"
boycotts,"('boycott', -7.575020471787159)","('boycotts', -9.29658074989393)","('black', -9.37089526129173)","('protest', -9.423361491467913)","('leaders', -9.527885258986892)","('union', -9.534284856160719)","('south', -9.536794856975801)","('groups', -9.619836672832896)","('israel', -9.657057090086417)","('rights', -9.66135522390379)"
factories and industrial plants,"('plant', -7.087141822696052)","('plants', -7.771975080401387)","('factory', -7.78814423483512)","('workers', -7.938558815561278)","('factories', -8.120467961730888)","('manufacturing', -8.148391762206074)","('production', -8.1668048960464)","('companies', -8.298545257927852)","('industry', -8.359874849993243)","('jobs', -8.377642241345646)"
tests and testing,"('test', -6.377946464006264)","('tests', -6.4552478318053454)","('testing', -6.594057943782421)","('students', -7.106299075221354)","('drug', -7.228659789140389)","('dr', -7.269273478386105)","('tested', -7.362054074825272)","('education', -7.464086834036895)","('schools', -7.474387735747025)","('results', -7.477883394275787)"
governors (us),"('governor', -6.156661859392632)","('republican', -6.735730098521621)","('campaign', -6.8517185198594595)","('gov', -6.9645229900321315)","('democratic', -6.9883020361552)","('election', -7.097944680112227)","('pataki', -7.1734195280374164)","('party', -7.25057124247414)","('candidate', -7.255726317803268)","('voters', -7.284316440961661)"
trucks and trucking,"('truck', -7.228623198131249)","('trucks', -7.278751770135373)","('cars', -8.018868264608606)","('vehicles', -8.05073192146753)","('motor', -8.292185774503567)","('ford', -8.356275605522693)","('car', -8.377819270290583)","('auto', -8.41330379056782)","('sales', -8.428643286520872)","('chrysler', -8.478681811319086)"
subways,"('subway', -6.225635901319467)","('transit', -6.5247285793052905)","('train', -6.97133168857472)","('station', -7.1190581042947505)","('authority', -7.143672445689847)","('riders', -7.391619036169528)","('trains', -7.4004490333301085)","('police', -7.479483390309226)","('transportation', -7.595889783611762)","('subways', -7.656871694303748)"
transit systems,"('transit', -6.067368038444812)","('subway', -6.1226476239246175)","('authority', -6.708207091461345)","('train', -6.781711972970403)","('transportation', -6.896227394204154)","('station', -6.9261158793547315)","('riders', -7.057674746925602)","('bus', -7.087200029813525)","('trains', -7.098618191858425)","('police', -7.276761828026316)"
home repairs and improvements,"('paint', -7.520086195807732)","('remove', -7.681535272796524)","('wood', -7.703643245843737)","('water', -7.77278168710056)","('surface', -7.901355719480583)","('inch', -8.009379236640415)","('metal', -8.046513676875367)","('apply', -8.047176147424823)","('usually', -8.082247986288206)","('install', -8.095876212793652)"
welfare (us),"('welfare', -6.3405847857951905)","('recipients', -7.163369716200944)","('benefits', -7.4604714442924065)","('poor', -7.571357551109418)","('families', -7.663719719764021)","('programs', -7.716067758626505)","('assistance', -7.725970068984614)","('services', -7.797020354322799)","('jobs', -7.803341272088011)","('care', -7.842685870130271)"
violence,"('violence', -6.8239415446617215)","('police', -7.190133943474025)","('killed', -7.576749298290695)","('violent', -7.872415654959798)","('military', -8.036524620862979)","('attack', -8.055333449486351)","('officers', -8.07009285778819)","('attacks', -8.074423909956277)","('soldiers', -8.081564166023064)","('security', -8.08882703607732)"
robberies and thefts,"('police', -6.228785912850008)","('robbery', -6.688764295486719)","('stolen', -7.000034894796503)","('arrested', -7.30364884816232)","('car', -7.384597869173396)","('theft', -7.418958158680992)","('shot', -7.424974223448253)","('charged', -7.43504302879315)","('officer', -7.439476186616516)","('men', -7.528039548814531)"
foreign service,"('embassy', -7.295764227762592)","('ambassador', -7.687884593461085)","('foreign', -8.082677754363399)","('diplomats', -8.127450467405865)","('diplomatic', -8.230154899004923)","('embassies', -8.295507104982976)","('nations', -8.51341769498137)","('security', -8.51878733097416)","('diplomat', -8.52894138985864)","('official', -8.539730741263835)"
gifts,"('gift', -7.617905983076345)","('gifts', -7.717615429808425)","('christmas', -8.893063270934116)","('holiday', -8.991355306590808)","('giving', -9.047545690964036)","('fund', -9.133690207683056)","('donated', -9.180746273401873)","('received', -9.194221692277779)","('museum', -9.231269999343047)","('donation', -9.244769346459934)"
united states foreign service,"('embassy', -7.919111244545253)","('ambassador', -8.352525940382245)","('bin', -8.739255056716045)","('embassies', -8.781369170364494)","('laden', -8.815485781910525)","('foreign', -8.872784911685113)","('bombings', -8.909542206883462)","('security', -8.943089199324808)","('terrorist', -9.042771488222595)","('al', -9.085904299771194)"
restoration and rehabilitation,"('building', -7.106754806678601)","('renovation', -7.306401688164405)","('restoration', -7.405597770156819)","('project', -7.512669107834778)","('buildings', -7.575041444855109)","('built', -7.768382581728589)","('square', -7.79158898432887)","('space', -7.801283069202858)","('park', -7.813273529475602)","('museum', -7.862484054124377)"
meat,"('meat', -7.506053738034815)","('beef', -7.610371571294783)","('food', -8.1219553059877)","('agriculture', -8.163824612994393)","('cow', -8.17456532195995)","('cattle', -8.215491463659461)","('disease', -8.274540828070354)","('mad', -8.45635722868181)","('pork', -8.557271857877863)","('animals', -8.69959200319963)"
prisons and prisoners,"('prison', -6.370523512005277)","('prisoners', -6.518525185138928)","('inmates', -6.5470354419746695)","('prisons', -7.1376504542114585)","('jail', -7.195959425508766)","('inmate', -7.31730838783844)","('parole', -7.456969273295709)","('prisoner', -7.497826096959467)","('court', -7.542240641284178)","('correctional', -7.665263790538323)"
probation and parole,"('parole', -7.5026288600703905)","('prison', -8.004409378454719)","('probation', -8.140355430928853)","('sentence', -8.52142720179686)","('convicted', -8.633951835984751)","('court', -8.763843417447523)","('sentenced', -8.814921941701709)","('judge', -8.82385191909682)","('police', -8.889428046918812)","('offenders', -8.902992465789488)"
assassinations and attempted assassinations,"('assassination', -7.358345268360481)","('killed', -7.8328772115029475)","('killing', -7.853441935003879)","('minister', -7.964027964255522)","('police', -7.96475556500643)","('military', -8.180275397440397)","('security', -8.298538023813109)","('death', -8.314597282959934)","('prime', -8.317386045469128)","('leader', -8.349684442608885)"
parks and other recreation areas,"('park', -6.424308376443262)","('parks', -6.860079895945323)","('central', -8.00342956874757)","('land', -8.06742619770405)","('area', -8.124515470395593)","('acres', -8.15660648664701)","('recreation', -8.170254404682403)","('river', -8.21481096058248)","('plan', -8.238608872091318)","('environmental', -8.287669755869523)"
