company reports,"('amex', -5.211085144866019)","('discontinued', -5.618139282572193)","('b1', -5.798886604494445)","('01', -5.82673857213189)","('02', -5.948127118431862)","('03', -6.019199039200537)","('respectively', -6.031137196260979)","('04', -6.105005230861835)","('05', -6.1054368021531875)","('06', -6.122930199970927)","('07', -6.158774913732408)","('08', -6.188779909082163)","('b2', -6.239610516468859)","('09', -6.270049997439826)","('bancorp', -6.41081352321991)","('restated', -6.433686808621377)","('credits', -6.530837683622718)","('b3', -6.623665309117045)","('pretax', -6.770951444515765)","('b4', -6.811898229367177)"
collectors and collections,"('collectors', -7.08375410472101)","('collector', -7.414145630227747)","('collecting', -7.725116948400425)","('sotheby', -7.956199428551061)","('dealer', -8.046025834524745)","('christie', -8.115114871903868)","('collections', -8.15722984080089)","('museums', -8.285382491919359)","('collectibles', -8.371772281038764)","('auctions', -8.481046642274212)","('curator', -8.496873561908613)","('galleries', -8.512044434900993)","('antiques', -8.518908304360318)","('sculpture', -8.619006587465094)","('vintage', -8.649074401441768)","('memorabilia', -8.662002845998686)","('collectible', -8.700507238497917)","('antique', -8.788894226345281)","('sculptures', -8.837702561746418)","('drawings', -8.850420740006749)"
auctions,"('sotheby', -6.133648944329967)","('christie', -6.350981542221737)","('auctions', -6.6467333584341475)","('auctioned', -6.931909453355874)","('bidding', -7.088253707183369)","('bidders', -7.243671106904668)","('dealer', -7.262100889836263)","('collectors', -7.308714723817382)","('ebay', -7.341136907991782)","('collector', -7.388562331296105)","('bidder', -7.545154054330655)","('bids', -7.590892696879897)","('impressionist', -7.657901768876408)","('auctioneer', -7.732035510536438)","('sellers', -7.878981068684988)","('obligation', -7.928326531275967)","('seller', -7.95974182236235)","('antiques', -8.025137083464797)","('presale', -8.043393076675944)","('sculpture', -8.06275004601513)"
"prices (fares, fees and rates)","('traders', -6.266848302912639)","('futures', -6.385141567906573)","('crude', -6.530520336426943)","('fares', -6.711387982667816)","('barrel', -6.716048183495877)","('dow', -6.719129726885358)","('gasoline', -6.722506632459137)","('yen', -6.79208471963378)","('ounce', -6.947132776522647)","('gallon', -6.951890625608345)","('commodity', -6.972944836565505)","('pricing', -7.057677202390279)","('cent', -7.11419748250181)","('opec', -7.122244936704341)","('petroleum', -7.136024133217558)","('tenths', -7.137970983532176)","('mercantile', -7.225683983197614)","('heating', -7.285335287183598)","('bath', -7.322910096001962)","('unchanged', -7.330052146841896)"
demonstrations and riots,"('protesters', -5.883306415106776)","('demonstrators', -6.1455041165686435)","('demonstrations', -6.434459156133736)","('demonstration', -6.680199568700052)","('riot', -6.905869647356786)","('palestinians', -6.933084449429836)","('riots', -7.157746196744578)","('gaza', -7.232625934262853)","('marched', -7.258183236640279)","('unrest', -7.315174992174583)","('uprising', -7.321205819726425)","('organizers', -7.333535239301779)","('beijing', -7.34658084103831)","('protesting', -7.352153705646799)","('clashes', -7.406129586251087)","('arrests', -7.426305920774143)","('rioting', -7.4428498253154745)","('peaceful', -7.489860291608695)","('tear', -7.504834329429203)","('marchers', -7.506393640172263)"
palestinians,"('palestinians', -4.902410664344953)","('gaza', -5.399409243651905)","('arafat', -5.409335494997974)","('israelis', -5.478475295743482)","('jerusalem', -5.889522198142813)","('hamas', -6.04223954357373)","('yasir', -6.046751693367669)","('palestine', -6.152057285526572)","('sharon', -6.1593907937500445)","('territories', -6.275967655838211)","('arabs', -6.382041705110515)","('settlements', -6.624743898089045)","('netanyahu', -6.641008403531856)","('ariel', -6.643003048974619)","('liberation', -6.651142098041077)","('settlers', -6.723862270748339)","('abbas', -6.733806215355963)","('rabin', -6.761395213800352)","('egypt', -6.778525671048271)","('lebanon', -6.798256799627929)"
bankruptcies,"('creditors', -5.86356551709631)","('enron', -6.22337190897675)","('filing', -6.502029629413154)","('reorganization', -6.703719733495101)","('bankrupt', -7.146939029489788)","('debts', -7.207884526497011)","('andersen', -7.412712440400775)","('pension', -7.4700937985525915)","('bondholders', -7.520917904389479)","('carrier', -7.560364909226639)","('unsecured', -7.568364217571262)","('airways', -7.583659632925373)","('regulators', -7.584284847204509)","('pilots', -7.6012669626750355)","('proceedings', -7.613375633110095)","('owed', -7.635591278979055)","('creditor', -7.642594623322536)","('restructuring', -7.65269420663292)","('lenders', -7.66286431837951)","('bankruptcies', -7.723714591521019)"
education and schools,"('chancellor', -6.149364977524992)","('colleges', -6.155757746531389)","('elementary', -6.424197349069297)","('universities', -6.4347483520867454)","('classroom', -6.4351118234749585)","('superintendent', -6.475417829744501)","('curriculum', -6.573359820286494)","('math', -6.584169555739338)","('administrators', -6.627307035912867)","('educators', -6.656066316017812)","('tuition', -6.681922919197968)","('grades', -6.789761629169009)","('classrooms', -6.8627074184736365)","('principals', -6.909559285170582)","('graders', -6.934313048387072)","('admissions', -6.976249186452179)","('enrollment', -7.025354972474698)","('graduates', -7.031043078381724)","('professors', -7.08852864244588)","('regents', -7.137128025170639)"
hiring and promotion,"('employers', -7.201416817885297)","('discrimination', -7.289605542037474)","('applicants', -7.677002014506526)","('minorities', -7.892055086652377)","('recruiting', -7.906798357169743)","('employer', -8.001911174222498)","('promotion', -8.036750620722621)","('graduates', -8.132033916874496)","('salaries', -8.188271818530989)","('promotions', -8.20241117148283)","('affirmative', -8.20560455587669)","('qualified', -8.207038126452682)","('recruitment', -8.277749064192694)","('wages', -8.28774927589795)","('recruit', -8.300016160984221)","('workplace', -8.322164330327823)","('wage', -8.339082197322696)","('recruiters', -8.339698405301224)","('diversity', -8.41447681042991)","('plaintiffs', -8.524764444030467)"
standards and standardization,"('math', -7.729406884603264)","('guidelines', -7.795334483688025)","('curriculum', -7.80535661567019)","('standardized', -7.90908777592616)","('regents', -8.0008134379703)","('educators', -8.06431297783789)","('chancellor', -8.079192249177567)","('pollution', -8.082431286718874)","('colleges', -8.12084989757879)","('graders', -8.13051365641143)","('grades', -8.151136358146617)","('emissions', -8.208665468607242)","('exam', -8.348868230390869)","('exams', -8.349147350135292)","('requirement', -8.389862294628252)","('mathematics', -8.407732831826811)","('assessment', -8.429890063384143)","('achievement', -8.442179134436758)","('principals', -8.456486566219498)","('classroom', -8.477540753013153)"
food,"('foods', -6.367472709734748)","('milk', -6.669935316650001)","('agriculture', -6.737501818447949)","('beef', -6.82199054424757)","('corn', -6.98131719926746)","('vegetables', -7.02461547042397)","('butter', -7.041947878457736)","('dairy', -7.207408903378573)","('chef', -7.225826365600295)","('supermarket', -7.231823023052609)","('diet', -7.248845148806614)","('pepper', -7.2522371360391915)","('chocolate', -7.262085750609218)","('salad', -7.293776006483513)","('nutrition', -7.299624409385958)","('flavor', -7.3067775596063145)","('olive', -7.323361523642782)","('ingredients', -7.3397610295999405)","('pork', -7.353024159578578)","('garlic', -7.375793788806931)"
textiles,"('textile', -7.16645269322051)","('cotton', -7.291465875414876)","('textiles', -7.408952569923001)","('fabric', -7.716043855511094)","('fabrics', -7.752792382616056)","('silk', -8.064226061417166)","('imports', -8.286673116426881)","('apparel', -8.293634138830857)","('exports', -8.529026798384859)","('quotas', -8.540507796489939)","('knitting', -8.550099723445133)","('currents', -8.631908808848944)","('woven', -8.643936725715365)","('linen', -8.674864770578596)","('yarn', -8.710595799230145)","('wool', -8.752038173497741)","('cloth', -8.77220587804657)","('designers', -8.828368003598818)","('fibers', -8.83394508770327)","('knit', -8.866405507439653)"
futures and options trading,"('futures', -5.530092547781088)","('crude', -6.195828023950026)","('mercantile', -6.335839911689569)","('traders', -6.440276090960974)","('commodity', -6.481662645497764)","('barrel', -6.535953744372657)","('cent', -6.669420142964924)","('regulators', -6.826176445551477)","('soybean', -6.856857039188908)","('bushel', -6.8612590699954765)","('insider', -6.927421136953574)","('trades', -6.930017457067176)","('gasoline', -7.000604946699676)","('gallon', -7.0012702272310365)","('heating', -7.008913858304069)","('wheat', -7.025062199958047)","('corn', -7.107370932979126)","('soybeans', -7.1177524392024205)","('brokerage', -7.126571571296228)","('ounce', -7.13677255125571)"
dancing,"('ballet', -5.281341919648107)","('choreography', -6.063661711870394)","('dancer', -6.07709162655721)","('dances', -6.163173000407419)","('danced', -6.176009005371484)","('choreographer', -6.211270340439209)","('balanchine', -6.424613547840152)","('choreographers', -6.546056417969929)","('choreographed', -6.7120202021757285)","('troupe', -6.76083066524748)","('ballets', -6.789629363751092)","('duet', -6.821563821170308)","('choreographic', -6.850116377886437)","('pas', -7.0130546641690055)","('premiere', -7.019860560039728)","('joyce', -7.031858248729957)","('costumes', -7.054407847505833)","('deux', -7.146470271838607)","('ballerina', -7.280891857074713)","('repertory', -7.347440477841731)"
earthquakes,"('earthquake', -5.914990800826203)","('quake', -6.46500512520389)","('earthquakes', -7.30306436692983)","('tsunami', -7.38703427840734)","('richter', -7.526213871529966)","('magnitude', -7.840246974192847)","('epicenter', -7.983102919482555)","('quakes', -7.988162320216784)","('rubble', -8.075539267279762)","('geological', -8.093789097941235)","('aftershocks', -8.137064072445177)","('waves', -8.169913512968277)","('collapsed', -8.192591599366212)","('fault', -8.225696309865075)","('seismic', -8.247587315588593)","('survivors', -8.286567832968514)","('measured', -8.35445570419327)","('shook', -8.422637772685768)","('toll', -8.431757233233354)","('kobe', -8.470600207134432)"
festivals,"('festivals', -7.403671518840041)","('mozart', -7.468663653965048)","('premiere', -7.705829208953737)","('symphony', -7.7273018279274925)","('ballet', -7.881545152295563)","('pianist', -7.884124013283057)","('cannes', -7.920970344209205)","('documentary', -7.931533283044065)","('quartet', -7.941322624152316)","('tully', -7.973353346002266)","('alice', -8.019652352286098)","('sundance', -8.072293399021111)","('blues', -8.093231829268099)","('cinema', -8.142242755637671)","('concerto', -8.147853393948912)","('singers', -8.158547542026808)","('jvc', -8.162730721325143)","('composers', -8.17138761529644)","('avery', -8.174730817918189)","('fisher', -8.200675894726428)"
"awards, decorations and honors","('honored', -6.923699707682876)","('oscar', -7.090171651948193)","('nobel', -7.262170753753377)","('nominated', -7.285857505923116)","('honors', -7.297624671250278)","('scholarships', -7.35583370328935)","('medal', -7.400182602371634)","('scholarship', -7.444635736669869)","('nominations', -7.446262541021591)","('prizes', -7.463454822710987)","('achievement', -7.542613991560192)","('nominees', -7.607283777514731)","('oscars', -7.623569738601668)","('trophy', -7.824151808982752)","('recipients', -7.834013165347781)","('finalists', -7.835922518532225)","('ceremonies', -7.869620875575281)","('inducted', -7.882783970023915)","('pulitzer', -7.883231154088414)","('excellence', -7.887323241094359)"
police,"('precinct', -6.278583101305386)","('detective', -6.633165257738229)","('patrol', -6.642314051054322)","('sergeant', -6.705082077628536)","('detectives', -6.974677608073885)","('arrests', -7.024120766291758)","('diallo', -7.105623483801188)","('brutality', -7.11090574339954)","('cops', -7.1139447870412615)","('sgt', -7.128625028864421)","('louima', -7.2503196663367095)","('safir', -7.2717731492344)","('misconduct', -7.27385613561217)","('robbery', -7.281173355788968)","('undercover', -7.302882292004274)","('departments', -7.309025852767044)","('bratton', -7.327054227019208)","('suspects', -7.330772251656554)","('troopers', -7.34111402335256)","('narcotics', -7.364387515233259)"
aged,"('medicare', -6.21489554487992)","('nursing', -6.8386126225092045)","('prescription', -7.132997443642681)","('beneficiaries', -7.356025871490086)","('medicaid', -7.408986972727307)","('seniors', -7.414320729572441)","('retirees', -7.7215646690828)","('premiums', -7.815603116113172)","('assisted', -7.92870917504929)","('incomes', -7.998956603444801)","('alzheimer', -8.051822100001967)","('boomers', -8.217639935961875)","('meals', -8.224345471125943)","('frail', -8.23116142616289)","('geriatric', -8.247205304518001)","('persons', -8.270133742949374)","('eligible', -8.28373877708491)","('medications', -8.296146476568342)","('aarp', -8.299687700865416)","('catastrophic', -8.306361087543563)"
federal aid (us),"('grants', -7.016968338352627)","('subsidies', -7.688983385446949)","('endowment', -7.731682214660109)","('medicaid', -7.878568235009842)","('funding', -7.981370607831028)","('appropriations', -8.11035395611092)","('eligible', -8.137393829491906)","('abortion', -8.206623967577258)","('subcommittee', -8.219960939480234)","('federally', -8.238600423808338)","('taxpayers', -8.246513318045832)","('transit', -8.275087418152838)","('bailout', -8.30573753046365)","('veto', -8.31627404259325)","('subsidy', -8.361401330645862)","('recipients', -8.383933688595258)","('colleges', -8.468351663954468)","('agriculture', -8.515144820487006)","('subsidized', -8.52662574941631)","('governors', -8.530646407975674)"
hospitals,"('nurses', -6.932614024951213)","('medicare', -7.0453540468494165)","('medicaid', -7.15359994080463)","('nursing', -7.190092451261227)","('physicians', -7.2752783808596355)","('beds', -7.302582025471161)","('nurse', -7.562578992615793)","('clinics', -7.624926646556172)","('uninsured', -7.672352147138852)","('psychiatric', -7.674127104691279)","('reimbursement', -7.772842982099851)","('physician', -7.793508404767785)","('outpatient', -7.80585071976993)","('insurers', -7.874558650652892)","('healthcare', -7.995007222019385)","('providers', -7.997809039862521)","('clinic', -8.036810255565339)","('administrators', -8.063360240808134)","('surgical', -8.088686169224069)","('sinai', -8.177309072911186)"
medicine and health,"('virus', -6.381193685685132)","('medicare', -6.387964435209844)","('medicaid', -6.665352741549401)","('infected', -6.675426677496552)","('physicians', -6.68544344439281)","('diseases', -6.811190833953923)","('clinical', -6.870242523310456)","('infection', -6.917944489206979)","('symptoms', -6.919992065089475)","('cells', -6.933294050453915)","('prescription', -6.967717019956377)","('therapy', -6.971035362445431)","('breast', -7.023687551381438)","('physician', -7.036838326239914)","('prevention', -7.137999010246408)","('treatments', -7.141632634427918)","('nursing', -7.14301083288124)","('nurses', -7.155875022020274)","('psychiatric', -7.217259897327082)","('immune', -7.254037838096941)"
art,"('sculpture', -6.364369068226811)","('drawings', -6.560154811265495)","('sculptures', -6.682104335184146)","('painter', -6.734407303919092)","('museums', -6.764447408106367)","('galleries', -6.802539239854253)","('abstract', -6.813121402587696)","('curator', -6.836905426280346)","('exhibitions', -6.991887967374312)","('installation', -7.107622531063572)","('soho', -7.141309487345729)","('sotheby', -7.142785458743463)","('portraits', -7.20163589187188)","('canvas', -7.21879304557138)","('picasso', -7.262997070215144)","('prints', -7.283818921808739)","('christie', -7.353819560800427)","('painters', -7.3610172401367535)","('whitney', -7.379713979227756)","('dealer', -7.395687830458688)"
children and youth,"('agers', -6.828954877796112)","('mothers', -6.964487002005622)","('teenagers', -6.966071284997845)","('youths', -7.193464710076753)","('youngsters', -7.272445756628961)","('juvenile', -7.279988763371832)","('babies', -7.382950277031003)","('olds', -7.462145332192724)","('sexually', -7.638326959833994)","('infant', -7.64281268070998)","('infants', -7.677331705922019)","('teenage', -7.69035372722031)","('adolescents', -7.70581941217319)","('parental', -7.716350211882961)","('elementary', -7.748172669586251)","('smoking', -7.760553769703138)","('custody', -7.816039246649198)","('tobacco', -7.820995918504195)","('mom', -7.851412775526244)","('abused', -7.860776635477007)"
handicapped,"('disabilities', -6.33321663988857)","('wheelchair', -6.909705241681866)","('disability', -6.946450654994306)","('handicapped', -7.090520879763592)","('wheelchairs', -7.440840550192799)","('accessible', -7.7637337697032205)","('discrimination', -8.134029611081488)","('blind', -8.18671595341221)","('retarded', -8.305452858259265)","('impaired', -8.326181477958457)","('mentally', -8.371594174648179)","('palsy', -8.39926805228884)","('deaf', -8.452087421362435)","('paralyzed', -8.525107272299765)","('cerebral', -8.527710006625886)","('classroom', -8.534269900787594)","('rehabilitation', -8.53542961858972)","('classrooms', -8.566662567656147)","('physically', -8.574824722773347)","('accommodations', -8.612515561551408)"
news and news media,"('journalism', -6.591042693735344)","('circulation', -6.697736059898992)","('editors', -6.7644553461082015)","('cnn', -7.039246567807757)","('tribune', -7.148353774645431)","('correspondent', -7.300017309170587)","('newsroom', -7.457585394319558)","('murdoch', -7.504372590269816)","('publications', -7.508091673349953)","('columnist', -7.527289804822719)","('herald', -7.536758609787138)","('journalistic', -7.558328083786059)","('advertisers', -7.593879684152451)","('newsday', -7.688639058925182)","('publish', -7.706919922480344)","('printing', -7.714493718071078)","('publishers', -7.715681506218614)","('correspondents', -7.719598686377545)","('tabloid', -7.7299772466179695)","('broadcasting', -7.762426108665151)"
media,"('journalism', -6.67592090914778)","('editors', -6.909205341427853)","('cnn', -6.991195284463719)","('circulation', -7.1539169528839555)","('correspondent', -7.297714562710821)","('tribune', -7.583601876842864)","('murdoch', -7.632886482052272)","('journalistic', -7.639347079704111)","('columnist', -7.649490200480601)","('correspondents', -7.691520944546678)","('broadcasting', -7.727867808555494)","('herald', -7.767357545963487)","('publications', -7.769694010847021)","('newsroom', -7.8323548191691295)","('publish', -7.8432184841826915)","('advertisers', -7.852386301494239)","('anchor', -7.858904389607364)","('printing', -7.897026736227354)","('tabloid', -7.934632849341033)","('publishers', -7.997718769268638)"
diseases and conditions,"('virus', -5.677293778112516)","('infected', -5.980032558147207)","('infection', -6.409745755190186)","('diseases', -6.615256292836248)","('breast', -6.622245567629231)","('epidemic', -6.624871723368383)","('symptoms', -6.7045295029289775)","('vaccine', -6.7285781939737515)","('prevention', -6.729763421101414)","('immune', -6.757731897655448)","('cells', -6.793219876208165)","('syndrome', -6.999087250878163)","('clinical', -7.011588523716854)","('infections', -7.035786376406841)","('therapy', -7.06643736518033)","('diagnosed', -7.209688891619838)","('treatments', -7.228380737069095)","('cancers', -7.261712326050319)","('condoms', -7.264449696923468)","('diagnosis', -7.293188481363742)"
social security (us),"('payroll', -7.249672886929121)","('medicare', -7.257984809979904)","('retirees', -7.317578061812373)","('surplus', -7.467832449306613)","('privatization', -7.770541269207333)","('trillion', -7.804625441642202)","('surpluses', -7.909381939473039)","('pension', -7.930614921022803)","('disability', -8.187039424680457)","('moynihan', -8.277915524549986)","('retire', -8.290505442157368)","('recipients', -8.31059691490622)","('solvency', -8.311572165720637)","('boomers', -8.313064188915522)","('employers', -8.352594173792859)","('wages', -8.363736673966839)","('beneficiaries', -8.400042377100641)","('deficits', -8.4227317901371)","('bipartisan', -8.436904749346226)","('pensions', -8.445062843816263)"
sentences (criminal),"('sentencing', -6.119711417893639)","('sentences', -6.469225815086907)","('defendant', -6.877427985805002)","('probation', -6.899776660697699)","('parole', -6.911264226016462)","('plea', -7.100293796244509)","('punishment', -7.125202165686571)","('defendants', -7.1745131530862185)","('offenders', -7.247892912396405)","('courtroom', -7.486551940225624)","('verdict', -7.500823014684339)","('conspiracy', -7.653991631822841)","('inmates', -7.720483819872724)","('fined', -7.749994436134375)","('cocaine', -7.751583843792579)","('guidelines', -7.77185453737809)","('felony', -7.784224644730109)","('jurors', -7.800936109438929)","('convictions', -7.819436354428737)","('robbery', -7.877644050905333)"
fines (penalties),"('fined', -6.39343754554264)","('fines', -6.434099935110433)","('penalties', -7.0815608160759504)","('regulators', -7.945565013007927)","('violation', -7.958885101662163)","('plea', -8.113768495971378)","('violating', -8.152531903590399)","('restitution', -8.231736874078544)","('probation', -8.23947788327493)","('suspension', -8.255917604841715)","('damages', -8.292686974301153)","('illegally', -8.302617306486686)","('wrongdoing', -8.351196423192278)","('levied', -8.35316804676348)","('compliance', -8.364120146085725)","('regulatory', -8.451750337183983)","('improper', -8.549466041138036)","('sentencing', -8.576043251230523)","('punishment', -8.579055898038028)","('contempt', -8.582788839012828)"
ethics,"('ethics', -6.137408966747751)","('impeachment', -6.65521725657936)","('enron', -6.808416304552404)","('starr', -6.903357819037412)","('ethical', -6.9047052748647975)","('wrongdoing', -6.983110402295378)","('lewinsky', -7.011101112186609)","('indictment', -7.06573305425564)","('disclosure', -7.144548065278527)","('indicted', -7.308663376495141)","('investigate', -7.312156103160647)","('improper', -7.3195882376335515)","('scandals', -7.334261491729911)","('integrity', -7.356678432800611)","('bribery', -7.3679338596587325)","('testified', -7.369490878976959)","('whitewater', -7.371476055482227)","('misconduct', -7.3879682279384635)","('regulators', -7.419289569888125)","('resign', -7.455039727638347)"
hotels and motels,"('inn', -7.1425684411560315)","('travelers', -7.229897687288229)","('occupancy', -7.234921511162872)","('suites', -7.294378267440882)","('marriott', -7.333486594615683)","('resorts', -7.413386281938182)","('hilton', -7.42861820382969)","('casino', -7.579767152268573)","('suite', -7.812790922027618)","('spa', -7.859743563084019)","('motel', -7.8783589639064875)","('inns', -7.878699328669013)","('hospitality', -7.883727196265545)","('lodging', -7.884381343984728)","('amenities', -7.893652779889262)","('tourism', -7.902441726987764)","('hyatt', -7.98822889995666)","('sheraton', -8.029637612518536)","('ritz', -8.04269644401304)","('las', -8.064239996913532)"
advertising and marketing,"('addenda', -5.298832753021997)","('billings', -5.465317548839896)","('commercials', -6.10809555760441)","('advertisers', -6.2678617220692425)","('interpublic', -6.460034028683396)","('advertisements', -6.468837346881596)","('omnicom', -6.520623466419247)","('brands', -6.61181415247397)","('saatchi', -6.746177431240522)","('wpp', -6.80875493974017)","('advertisement', -6.90884485764368)","('mccann', -6.934416048813732)","('marketers', -6.94196276756951)","('ogilvy', -6.95837837207052)","('ddb', -7.0523371096436405)","('rubicam', -7.086558346858395)","('bbdo', -7.088199820458364)","('grey', -7.08826071191512)","('erickson', -7.162426336883328)","('promotion', -7.189819240822507)"
drunken and reckless driving,"('drunken', -6.550328018072893)","('intoxicated', -7.1071119968332)","('drunk', -7.348984837762589)","('manslaughter', -8.090948885239218)","('accidents', -8.192341276886076)","('reckless', -8.366524865635618)","('speeding', -8.489546677056717)","('vehicular', -8.526150689375303)","('breathalyzer', -8.545723483488883)","('08', -8.570137683857602)","('probation', -8.598821153171835)","('impaired', -8.614536856854636)","('passenger', -8.785739312092861)","('fatalities', -8.838949987449515)","('offenders', -8.85139166674423)","('breath', -8.863350910364941)","('crashed', -8.875305887796145)","('fatal', -8.896883362184122)","('sobriety', -8.900676633542894)","('liquor', -8.91646605710334)"
apparel,"('designers', -6.172263159536521)","('dresses', -6.413487886779434)","('pants', -6.609227512656401)","('skirts', -6.6317290879812)","('jackets', -6.644416222901263)","('shirts', -6.704543813357245)","('jacket', -6.720366211923511)","('worn', -6.765713649687759)","('leather', -6.8634982361109325)","('skirt', -6.878918277147547)","('coats', -7.004433293727823)","('jeans', -7.0152106776265315)","('silk', -7.023096010147538)","('collections', -7.057151606160678)","('coat', -7.08200311048794)","('couture', -7.115598036659645)","('apparel', -7.120834029631739)","('fabrics', -7.147033785973062)","('runway', -7.196125147714998)","('cotton', -7.2054179052275495)"
skiing,"('ski', -5.957175927727373)","('skiing', -6.3322730650134735)","('skiers', -6.482111177678889)","('skier', -7.02442351434443)","('downhill', -7.07338307275136)","('slalom', -7.103794853341212)","('skis', -7.144438297555085)","('alpine', -7.467602464768363)","('slopes', -7.512274364578691)","('resorts', -7.531344710635296)","('olympics', -7.575620618449014)","('medal', -7.58857803717179)","('trails', -7.8612694922574065)","('skied', -7.965245801748928)","('vail', -7.9686479728293165)","('austria', -7.996714376889381)","('aspen', -8.025410822583936)","('medals', -8.139772099149777)","('colo', -8.141341474639518)","('lifts', -8.187605792315628)"
murders and attempted murders,"('robbery', -6.466461244967039)","('detectives', -6.476563887151615)","('stabbed', -6.550983330607245)","('killings', -6.572754934598153)","('defendant', -6.612804671920259)","('detective', -6.622844419329883)","('jurors', -6.701826643688167)","('shootings', -6.744904534974774)","('murders', -6.804382229008584)","('gunman', -6.87714747646491)","('homicide', -6.878767805339526)","('testified', -6.898389796819778)","('slaying', -6.902880743976911)","('fatally', -6.918085880141884)","('attempted', -6.9554391265986)","('killer', -6.963259979310246)","('suspects', -6.987973664824651)","('parole', -6.993252616008367)","('courtroom', -7.035978742930033)","('weapon', -7.06185185675356)"
attacks on police,"('detective', -7.361729003516395)","('robbery', -7.588108032039471)","('sergeant', -7.591741474275471)","('precinct', -7.668652498249866)","('detectives', -7.711881332829465)","('attempted', -7.8117392584967895)","('sgt', -7.873302386259654)","('parole', -7.926279687319935)","('bullet', -7.931463818867329)","('suspects', -7.949836584933225)","('gunman', -8.006377498932164)","('patrol', -8.010629174786002)","('weapon', -8.019313548482188)","('undercover', -8.034546352609336)","('shootout', -8.098893880489523)","('possession', -8.143549998493652)","('trooper', -8.251858091656796)","('chest', -8.275083002072485)","('slain', -8.301710785659054)","('gunfire', -8.386139172889004)"
organized crime,"('mafia', -6.486935651556796)","('gotti', -6.588491923596134)","('racketeering', -6.687882578828034)","('gambino', -6.745231974133198)","('mob', -6.79681192653881)","('genovese', -7.378455562207682)","('reputed', -7.4523349337061005)","('defendants', -7.503902674403594)","('indictment', -7.570573821545475)","('extortion', -7.574944789111573)","('mobsters', -7.661132509413061)","('gambling', -7.814787901994482)","('gravano', -7.8263290898263325)","('bonanno', -7.907011452096944)","('lucchese', -7.918464534768054)","('defendant', -7.936711212413517)","('indicted', -7.951323377492849)","('murders', -7.964130194059662)","('gigante', -7.998333463811961)","('salvatore', -8.007049658077667)"
women,"('discrimination', -6.908645887049723)","('gender', -6.936582909094326)","('mothers', -7.123798526697619)","('breast', -7.226552737187608)","('harassment', -7.2738348362977)","('feminist', -7.329932404648628)","('abortion', -7.646942136477735)","('equality', -7.703848677866926)","('pregnant', -7.762832953485132)","('rape', -7.825830649193698)","('husbands', -7.826683087526682)","('minorities', -7.868268725865734)","('feminists', -7.913720940212345)","('workplace', -7.924984368669562)","('feminism', -7.936512948491306)","('pregnancy', -7.948349384806525)","('wives', -7.979988134903)","('sexually', -7.992797809508798)","('athletes', -8.053782165876516)","('careers', -8.074382116625817)"
child abuse and neglect,"('abused', -6.68612641775888)","('priests', -6.781702699048994)","('sexually', -7.09311135835569)","('priest', -7.28808734645879)","('bishops', -7.335834738717274)","('neglect', -7.3417388358703155)","('archdiocese', -7.348138141364961)","('diocese', -7.389032935171368)","('custody', -7.3989837104355365)","('caseworkers', -7.404766089440777)","('cardinal', -7.422421825127699)","('endangering', -7.436509268835114)","('bishop', -7.456822353549361)","('molesting', -7.670683521046006)","('abusing', -7.690759786092931)","('molested', -7.695534860020904)","('infant', -7.733213361945475)","('steinberg', -7.751394837724649)","('caseworker', -7.918805884492238)","('parish', -7.946958546351635)"
condominiums,"('condominium', -6.278149972325247)","('condominiums', -6.690007971485788)","('condo', -7.131821614145194)","('developers', -7.279327176254319)","('condos', -7.491443898361515)","('rental', -7.606189910567443)","('ops', -7.63055598097035)","('bedrooms', -7.747956776468799)","('tenants', -7.8117924041549385)","('conversion', -7.938830814486522)","('brokers', -8.154779067580966)","('mortgage', -8.266661583139454)","('realty', -8.311738506585527)","('amenities', -8.321469140110255)","('penthouse', -8.339060125586562)","('rents', -8.349783092617825)","('cooperatives', -8.35782000752404)","('ceilings', -8.363368252428563)","('zoning', -8.368415454661168)","('tenant', -8.384704526193167)"
housing,"('tenants', -6.155640903734945)","('mortgage', -6.157824447244925)","('bath', -6.434146467340275)","('developers', -6.511071144156558)","('condominium', -6.542876354012175)","('mortgages', -6.615940968324653)","('rental', -6.618497915494855)","('garage', -6.645801481734477)","('rents', -6.715238881995946)","('affordable', -6.743700364085106)","('tenant', -6.778907298894212)","('fireplace', -6.814502189624664)","('bedrooms', -6.829048310146897)","('condominiums', -6.87075778444469)","('colonial', -6.9561861109953265)","('realty', -6.989302271413264)","('landlords', -6.990995946538327)","('homeowners', -7.005636168779778)","('zoning', -7.042270470882881)","('brokers', -7.0487500528193054)"
theater,"('playwright', -6.465100488515074)","('theaters', -6.729976236756372)","('shakespeare', -6.775025920133999)","('theatrical', -6.889014012845321)","('costumes', -6.947830529775009)","('musicals', -7.03633584409492)","('playwrights', -7.193005175272054)","('repertory', -7.22231280967147)","('lyrics', -7.321028201314121)","('playhouse', -7.351006025737822)","('onstage', -7.400063921364329)","('previews', -7.459424206581671)","('staged', -7.474919987704817)","('staging', -7.479923855140074)","('premiere', -7.537807946205433)","('starring', -7.614222950884416)","('script', -7.628052175120115)","('theatergoers', -7.640004125940508)","('adaptation', -7.651004300195781)","('sondheim', -7.714356112535064)"
